iter	Passed	Remaining
732	1543	562
733	1548	561
734	1549	558
735	1553	557
736	1555	554
737	1556	552
738	1557	549
739	1561	548
740	1563	546
741	1566	544
742	1569	542
743	1574	541
744	1575	539
745	1578	537
746	1579	535
747	1581	532
748	1583	530
749	1586	528
750	1589	527
751	1590	524
752	1593	522
753	1596	520
754	1599	518
755	1605	518
756	1608	516
757	1610	514
758	1611	511
759	1613	509
760	1615	507
761	1616	504
762	1617	502
763	1618	500
764	1619	497
765	1622	495
766	1623	493
767	1624	490
768	1629	489
769	1631	487
770	1636	485
771	1637	483
772	1638	481
773	1639	478
774	1640	476
775	1643	474
776	1644	472
777	1645	469
778	1650	468
779	1652	465
780	1657	464
781	1658	462
782	1660	460
783	1661	457
784	1662	455
785	1664	453
786	1668	451
787	1669	449
788	1671	446
789	1674	445
790	1675	442
791	1676	440
792	1677	437
793	1682	436
794	1684	434
795	1685	431
796	1689	430
797	1690	427
798	1691	425
799	1696	424
800	1703	423
801	1704	420
802	1708	419
803	1710	416
804	1711	414
805	1715	412
806	1716	410
807	1717	408
808	1721	406
809	1722	404
810	1726	402
811	1727	400
812	1729	397
813	1729	395
814	1734	393
815	1735	391
816	1736	388
817	1740	387
818	1741	384
819	1742	382
820	1746	380
821	1747	378
822	1749	376
823	1752	374
824	1754	372
825	1755	369
826	1756	367
827	1760	365
828	1761	363
829	1762	361
830	1767	359
831	1768	357
832	1769	354
833	1773	352
834	1774	350
835	1775	348
836	1778	346
837	1780	344
838	1785	342
839	1788	340
840	1793	339
841	1794	336
842	1798	334
843	1799	332
844	1800	330
845	1805	328
846	1806	326
847	1808	324
848	1812	322
849	1818	320
850	1820	318
851	1825	317
852	1827	314
853	1832	313
854	1833	310
855	1837	309
856	1840	307
857	1845	305
858	1847	303
859	1850	301
860	1851	298
861	1852	296
862	1854	294
863	1855	292
864	1856	289
865	1857	287
866	1858	285
867	1860	282
868	1861	280
869	1863	278
870	1864	276
871	1865	273
872	1867	271
873	1869	269
874	1870	267
875	1871	264
876	1873	262
877	1874	260
878	1876	258
879	1881	256
880	1884	254
881	1887	252
882	1891	250
883	1893	248
884	1894	246
885	1896	243
886	1897	241
887	1898	239
888	1899	237
889	1900	234
890	1901	232
891	1902	230
892	1905	228
893	1906	226
894	1907	223
895	1908	221
896	1909	219
897	1911	217
898	1912	214
899	1913	212
900	1916	210
901	1918	208
902	1919	206
903	1920	203
904	1921	201
905	1922	199
906	1924	197
907	1926	195
908	1927	192
909	1928	190
910	1930	188
911	1931	186
912	1933	184
913	1933	181
914	1934	179
915	1938	177
916	1940	175
917	1943	173
918	1944	171
919	1946	169
920	1947	167
921	1949	164
922	1951	162
923	1952	160
924	1953	158
925	1954	156
926	1956	154
927	1958	151
928	1959	149
929	1960	147
930	1961	145
931	1966	143
932	1968	141
933	1970	139
934	1972	137
935	1975	135
936	1981	133
937	1982	131
938	1987	129
939	1994	127
940	2000	125
941	2001	123
942	2007	121
943	2013	119
944	2015	117
945	2019	115
946	2020	113
947	2027	111
948	2032	109
949	2033	107
950	2035	104
951	2036	102
952	2037	100
953	2038	98
954	2039	96
955	2041	93
956	2044	91
957	2045	89
958	2046	87
959	2049	85
960	2050	83
961	2053	81
962	2059	79
963	2062	77
964	2063	74
965	2064	72
966	2065	70
967	2068	68
968	2070	66
969	2071	64
970	2076	62
971	2078	59
972	2083	57
973	2084	55
974	2085	53
975	2086	51
976	2088	49
977	2089	47
978	2090	44
979	2091	42
980	2094	40
981	2095	38
982	2097	36
983	2098	34
984	2100	31
985	2102	29
986	2103	27
987	2104	25
988	2106	23
989	2107	21
990	2108	19
991	2110	17
992	2113	14
993	2114	12
994	2116	10
995	2117	8
996	2119	6
997	2120	4
998	2122	2
999	2123	0
